CustomerID,Age,Gender,City,State,Annual_Income,Purchase_History,Visit_Frequency,Average_Session_Duration,Last_Purchase_Date,Items_in_Cart,Payment_Method,Purchase_Amount,Discount_Used,Customer_Satisfaction
c174b6ad-4f13-4836-a221-9d9928b4d7be,60,Other,Lake Austin,North Dakota,113963.34,Home,13,24.61,2023-12-01,5,PayPal,317.57,No,10
f9cf612b-a8fd-447e-bebe-1c40e98dbe35,65,Female,Port Cynthiaberg,Mississippi,74053.27,Home,5,42.58,2023-09-26,3,Credit Card,195.32,Yes,4
c2195b47-c748-435c-8f9c-35b75b99001d,35,Female,East Tiffany,Missouri,106887.75,Home,10,47.41,2024-01-24,5,Debit Card,252.46,No,3
2190a9ad-5a9d-4530-8a50-d6c30c31c821,45,Other,Lake John,Idaho,141842.24,Electronics,2,31.11,2023-05-07,9,Credit Card,58.83,Yes,9
321a4609-6b82-4bd7-8b29-a29031899ca9,59,Other,Lake Jennifer,Missouri,125506.38,Fashion,4,14.51,2023-10-05,5,PayPal,307.28,No,3
a4ea8aad-648c-4658-875c-3351208f2a84,30,Male,New Chrisshire,Alabama,22927.35,Fashion,17,34.1,2024-05-15,8,PayPal,434.62,No,4
70892df4-0e69-49d0-8a07-ccb7c8263d4f,50,Female,Baileyfort,West Virginia,129561.66,Sports,10,54.89,2023-01-08,4,PayPal,385.16,No,3
8b47289a-bb41-4a05-a204-0145dd245177,50,Male,Parkerchester,New Jersey,91578.39,Home,5,30.35,2023-09-09,8,Credit Card,281.0,Yes,10
68dabb5f-645d-4f13-96ad-7d361e0cd110,45,Other,Wilsonport,New Mexico,16050.2,Sports,7,27.97,2022-10-13,1,Bank Transfer,211.8,No,10
f2e4aa7a-68d3-4a42-a6d6-5341d32f6cdf,28,Other,West Jamesbury,Minnesota,56701.32,Electronics,16,47.33,2023-07-31,7,PayPal,61.93,No,7
5dbeecbc-2836-40aa-b9b4-337545dc10c6,50,Male,New Matthewtown,North Dakota,64054.03,Beauty,17,40.05,2023-01-24,5,PayPal,76.49,No,6
b804ecad-6fa3-4999-b3b1-492fe88a5818,25,Male,Lisaburgh,Arizona,100351.38,Electronics,1,48.14,2024-02-10,6,PayPal,456.19,Yes,6
75b56ee2-af09-429d-91c2-099d490765fc,42,Female,Brianport,Arizona,92384.85,Beauty,14,32.4,2024-06-19,8,Bank Transfer,425.29,No,10
f808e9b0-c392-4a8b-9ca2-43dcf3adf9ca,18,Female,Lake Erik,Rhode Island,134248.42,Electronics,7,45.52,2022-09-29,4,Bank Transfer,398.02,Yes,8
79b243db-0500-4fb7-b30a-ecc2a79ffea5,59,Male,Kimtown,North Carolina,39594.65,Electronics,16,52.98,2022-12-01,5,Credit Card,184.02,No,9
d6a2f70e-5677-4372-9308-2e7f362ee30b,26,Male,Port Christineland,New Hampshire,121306.99,Electronics,17,46.36,2022-09-20,9,Bank Transfer,11.43,Yes,9
ad4933bc-f724-4e98-8b33-1b810b9867fb,62,Other,Lopezside,Hawaii,120408.54,Beauty,9,43.17,2023-12-07,5,Credit Card,326.14,Yes,7
5d7ec390-5519-49d0-a84c-f56e7794ae1b,26,Female,Dwaynehaven,New Hampshire,46811.83,Sports,18,43.35,2023-12-28,5,Credit Card,464.45,No,2
e5e4c672-cd63-4d95-a9b3-474458b438ec,53,Male,Lake Timothyburgh,Arkansas,41310.8,Fashion,3,26.52,2024-06-26,4,Bank Transfer,382.52,No,6
35286a2a-2f46-4ca3-aeba-846df7d9f37d,69,Other,Lake Hailey,Maine,52549.13,Groceries,14,34.38,2023-03-16,3,Credit Card,34.46,Yes,5
e27db4c0-274a-420d-8ca3-ea68c2b2f281,63,Female,North Daniel,Indiana,35542.65,Home,10,39.54,2023-11-20,2,Bank Transfer,223.02,No,1
4440dce0-8d60-46bf-808c-b11f00f09e94,60,Male,Sotoville,Virginia,82124.82,Beauty,7,9.1,2024-02-20,9,PayPal,367.69,No,10
cecd0fea-ca04-4ec0-a045-c2cb9c96e82a,33,Female,North Lindahaven,Tennessee,125653.7,Beauty,6,53.2,2023-01-18,5,Debit Card,366.51,Yes,8
8f4ee1a6-22b1-46bc-808c-496bacf4ba2f,64,Male,East Cameron,Louisiana,18318.83,Beauty,8,33.36,2022-11-22,3,PayPal,61.26,No,8
8c0a58f7-1de6-4206-8774-10873b6af04e,68,Other,Edwardfurt,Indiana,130379.53,Sports,4,30.64,2023-01-30,3,Debit Card,115.71,No,1
943e451f-b682-4a0c-be6f-33873b72bc81,42,Other,Lake James,Utah,66743.99,Beauty,18,42.56,2023-09-24,1,PayPal,257.27,Yes,2
5ec4a1a0-74f4-4e5f-bb4d-d8be709f5427,23,Female,Walkerborough,Maryland,39009.45,Beauty,5,8.19,2022-11-24,3,Debit Card,163.41,No,9
ac0b854d-5147-4823-9adb-6c621347ca44,35,Male,Parsonstown,Michigan,94375.98,Home,5,49.48,2023-12-28,9,Credit Card,439.28,Yes,5
ed62f384-6259-4a9f-b7ce-1755d6196e1c,41,Male,Justinmouth,New Hampshire,44957.72,Sports,8,59.21,2022-09-12,7,Debit Card,458.75,No,3
f732ce58-28e7-4a0b-a344-47d5e7e75c78,44,Male,New Markfurt,Minnesota,86312.34,Home,17,16.6,2023-07-11,3,Bank Transfer,96.81,Yes,6
cbc8ce97-e0bb-409c-847b-bd092d4e8384,32,Female,New Davidview,Arizona,85286.13,Groceries,6,25.46,2022-12-04,7,Debit Card,309.88,No,6
c915f374-af1e-45e5-8083-969ea29a9725,26,Female,East Kenneth,Florida,72144.56,Groceries,1,23.68,2023-02-25,1,PayPal,199.48,Yes,5
25bf9ebe-120e-431c-ab03-5d595afb5e77,31,Male,New Edwardton,Missouri,97993.48,Groceries,7,51.22,2024-07-30,1,Credit Card,203.1,Yes,1
5f0cfe44-1608-4923-8467-59c7710bf5f9,32,Other,West Melissa,Wisconsin,112930.75,Home,2,29.17,2024-03-06,3,Credit Card,262.86,Yes,9
2a4895df-c931-4681-b73e-766df0b8dbe8,55,Other,Lake Johnstad,Minnesota,56131.09,Sports,16,50.19,2023-12-14,1,PayPal,244.17,No,9
8c1f9421-11ba-47fe-9c1f-d8ff41571ab9,21,Male,Maryberg,Nebraska,121294.71,Electronics,14,59.38,2022-09-12,6,PayPal,186.58,No,3
fc613f68-c625-4d1a-971f-5f8d63514bfb,52,Other,Harrisside,Maine,113002.51,Groceries,4,9.22,2024-04-26,8,Debit Card,146.77,Yes,10
587ea5c1-c0a6-43cf-b8d7-82d3602d875c,36,Male,Camposport,Missouri,147640.97,Groceries,19,47.75,2023-06-16,5,Bank Transfer,204.9,No,5
45252f9d-71fc-4c64-b20f-e3aa1d5bbef4,43,Male,North Theresa,Wisconsin,52561.91,Beauty,1,22.29,2023-12-18,9,Bank Transfer,376.45,Yes,8
8c3adb74-b36c-408f-8249-be1258c84281,47,Female,Andrewborough,Michigan,105002.37,Electronics,4,25.6,2024-07-28,2,Debit Card,145.96,Yes,2
3a33c8c5-b089-430a-aac4-dfe10fb48d27,56,Other,Lake Alex,Alabama,41240.84,Beauty,15,47.83,2023-01-17,9,PayPal,448.45,No,9
7b1fc4a5-af9a-49a0-b54d-275271fa7025,45,Female,Househaven,Michigan,136171.45,Groceries,5,21.74,2024-06-28,1,PayPal,318.07,Yes,3
bb88ad28-c2eb-457b-9ecf-3a9d376aa5fa,40,Female,Johnberg,Alabama,100039.17,Home,12,8.4,2023-01-19,1,PayPal,20.15,Yes,4
78556770-0d2f-4206-ab49-33572cc5dcc3,54,Female,Aliceview,Indiana,90942.22,Groceries,2,24.41,2024-09-01,4,Debit Card,81.05,No,3
312fa70e-510c-4c6e-b16f-302cf66a7315,60,Female,West Amyfurt,Wyoming,95616.48,Beauty,17,48.27,2023-08-10,3,Bank Transfer,435.04,No,4
51837274-1485-4086-8d46-c7845153c8e9,27,Male,Frankbury,Oklahoma,31186.47,Home,17,9.11,2024-01-08,2,Credit Card,251.12,No,7
39c83c40-7385-4f32-8d65-8ebdbc7ba87c,31,Other,New Alexandria,Nevada,91192.49,Home,4,14.76,2024-01-12,8,PayPal,56.69,Yes,8
aad052e6-f2af-4380-b333-69e744636047,29,Female,East Deborahside,Oregon,124306.57,Home,13,32.44,2024-02-01,8,Debit Card,69.86,No,9
ffac667c-428f-4289-8090-a4c3c6ddf1c4,32,Female,East Davidmouth,Oklahoma,144020.85,Fashion,17,29.92,2023-07-20,7,PayPal,200.01,No,1
b3f93114-a60d-41a8-b12b-c23ead0d1994,60,Female,Ryanside,Texas,39404.32,Electronics,10,14.97,2023-07-24,4,Credit Card,188.05,Yes,2
a6d41ac4-7a14-432a-b1bb-b202950bc025,26,Female,Lake Frankchester,Massachusetts,133056.19,Home,12,11.83,2024-02-17,4,Credit Card,473.81,No,8
64d7e255-2bd1-4313-9c77-5dd010bb3492,43,Female,East Stephanieport,Kentucky,57544.62,Beauty,8,38.48,2022-09-14,7,Bank Transfer,222.78,Yes,8
