Team,Opponent,Match_Type,Date,Location,Team_Score,Opponent_Score,Possession_Team,Possession_Opponent,Shots_Team,Shots_Opponent,Fouls_Team,Fouls_Opponent,Yellow_Cards_Team,Yellow_Cards_Opponent,Red_Cards_Team,Red_Cards_Opponent
England,Germany,Tournament,2010-01-01,Away,3,4,39.91087315608674,47.305297967954765,29,18,9,9,1,4,1,0
Germany,France,Qualifier,2010-01-02,Away,3,0,59.92764181252316,62.76414621820974,23,20,16,8,3,2,1,0
Portugal,Belgium,Tournament,2010-01-03,Neutral,1,4,54.083654658793094,57.67146168570751,9,28,15,18,3,2,1,1
Spain,Spain,Friendly,2010-01-04,Neutral,0,4,52.6010936942722,34.81466954060044,16,14,13,13,1,3,0,0
England,Spain,Qualifier,2010-01-05,Home,0,1,35.972047965741645,51.594916617992794,26,12,11,6,3,1,1,0
Belgium,England,Tournament,2010-01-06,Neutral,2,3,37.038452746439425,59.142232249197534,1,8,5,15,1,1,1,1
France,Germany,Tournament,2010-01-07,Neutral,3,4,41.27151103696097,52.131528068731214,26,25,15,15,2,1,1,1
England,Germany,Qualifier,2010-01-08,Away,3,4,38.27355738727748,67.9611460380639,16,7,16,6,1,1,0,0
Portugal,Netherlands,Tournament,2010-01-09,Home,4,2,68.85778980185745,34.05965072835078,19,5,16,17,0,2,0,0
Spain,Italy,Tournament,2010-01-10,Home,5,0,30.744440654246294,58.8928677151531,23,1,18,7,0,2,0,0
Germany,Germany,Friendly,2010-01-11,Home,1,3,55.04225353717296,62.97803245718002,9,15,13,14,1,3,1,1
Portugal,Brazil,Friendly,2010-01-12,Away,1,0,50.70395299501753,58.10612779620689,17,9,15,8,3,3,1,0
Portugal,Italy,Friendly,2010-01-13,Home,2,1,42.93004943593745,45.42340020257625,6,12,10,16,4,3,1,1
France,Brazil,Friendly,2010-01-14,Home,0,4,65.50354848415901,45.41921252813304,27,22,15,14,4,1,0,1
Italy,Spain,Friendly,2010-01-15,Away,3,4,56.80650310157129,53.46270020300051,14,18,12,13,2,1,0,1
Spain,Italy,Friendly,2010-01-16,Home,5,5,69.93417405292905,45.88392145418106,18,11,13,17,2,2,1,0
Brazil,Germany,Qualifier,2010-01-17,Neutral,2,0,36.74623837305941,65.32731989463323,21,10,15,9,4,2,0,1
Portugal,France,Friendly,2010-01-18,Neutral,1,1,33.51471343471315,34.39722473177802,14,10,15,6,4,0,1,0
Italy,England,Tournament,2010-01-19,Neutral,1,5,35.57589069865376,55.5662939189101,23,18,18,7,1,0,0,1
Brazil,Brazil,Qualifier,2010-01-20,Neutral,1,5,40.77163870338385,35.364598430945506,7,26,6,12,4,1,0,0
Spain,Italy,Tournament,2010-01-21,Neutral,3,2,46.67147966271824,51.60639209996167,10,1,6,10,0,2,1,0
Argentina,Germany,Friendly,2010-01-22,Neutral,3,5,64.50413140007771,58.6232480964278,16,28,9,17,2,1,1,0
Belgium,Italy,Friendly,2010-01-23,Neutral,3,5,41.34367065315546,36.62043666240996,7,20,18,9,2,4,1,0
